  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  9.5000e-13          154.53328880    326900782.54232478        8156.51265699         -141.91834194         8014.59431505 
  9.5500e-13          154.41120564    252692794.32051453        8150.06891363         -141.56778228         8008.50113135 
  9.6000e-13          154.29179636    146653865.96504739        8143.76630237         -143.65014049         8000.11616188 
  9.6500e-13          154.17367557    248032461.43222037        8137.53169899         -149.68749235         7987.84420664 
  9.7000e-13          154.06007699    204875712.08750704        8131.53578555         -134.00134065         7997.53444490 
  9.7500e-13          153.94094235    230300336.15864211        8125.24766985         -134.17152418         7991.07614567 
  9.8000e-13          153.82330971    250083463.13041607        8119.03883194         -122.14729616         7996.89153578 
  9.8500e-13          153.71050681    155237625.91117749        8113.08491535         -148.57676449         7964.50815086 
  9.9000e-13          153.60422878    106129869.10444123        8107.47539228         -132.72519648         7974.75019579 
  9.9500e-13          153.50041951    141790447.35282007        8101.99617363         -139.62295126         7962.37322236 
  1.0000e-12          153.39884091    157203191.80025625        8096.63469410         -154.09936900         7942.53532511 
